Sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr17	chr18	chr19	chr20	chr21	chr22	chr23	chr24	chr26	chr27	chr28	chr1A	chrZ	scaffold00169	scaffold00189	scaffold00221	scaffold00223	scaffold00224	scaffold00238	scaffold00239	scaffold00242	scaffold00248
FR046	18.266370000000002	18.44128	18.625660000000003	18.50151	18.641310000000004	18.72165	19.196590000000004	18.715870000000002	18.80083	19.09661	19.066409999999998	19.305820000000004	18.868470000000002	18.56978	18.75658	19.63172	18.08138	18.45495	18.75217	17.19505	16.11232	16.0011	17.03259	16.787779999999998	17.07392	17.433649999999997	18.63313	17.332700000000003	16.69865	17.30573	16.27104	27.99233999999999	11.974099999999998	21.70977	16.975710000000003	19.044369999999997	16.559730000000002
FR048	20.44388	20.746570000000002	20.87558	20.772370000000002	20.63027	20.51294	21.1201	20.210940000000004	20.261239999999997	20.237180000000002	20.50664	20.50882	19.842030000000005	19.51957	19.42018	19.671960000000002	18.499029999999998	18.791949999999996	19.31784	17.39057	15.346	15.391270000000002	16.72436	15.913469999999997	16.529040000000002	16.8166	20.832480000000004	9.85087	16.252190000000002	9.84687	15.723119999999998	25.23391	11.073000000000002	21.699479999999994	16.660369999999997	20.804930000000006	16.627519999999997
FR049	16.1917	16.24831	16.49052	16.378890000000002	16.697180000000003	16.95487	17.24636	17.106509999999997	17.209860000000003	17.44933	17.707479999999997	17.890639999999998	17.59708	17.30968	17.782330000000005	19.098750000000006	17.31663	17.681949999999997	17.76034	16.77107	16.50058	16.11489	16.992659999999997	17.216559999999998	17.03355	17.50507	16.52227	15.417280000000002	16.76313	14.759989999999998	16.404770000000003	28.357060000000004	13.594139999999998	21.83631	16.940310000000004	17.913530000000005	16.462589999999995
FR050	17.32004	17.560190000000002	17.664780000000004	17.579279999999997	17.4477	17.34277	17.87706	17.0991	17.1256	17.110120000000002	17.397689999999997	17.367399999999996	16.79875	16.503989999999998	16.461289999999998	16.82602	15.72196	15.955100000000002	16.408520000000003	14.81205	13.24363	13.26968	14.280809999999999	13.72169	14.292540000000002	14.5768	17.62492	8.36897	14.063939999999999	8.44344	13.53634	23.257020000000008	9.346050000000002	19.077260000000006	14.355739999999999	17.81813	14.06664
FR051	12.865849999999998	13.034030000000001	13.134619999999998	13.073379999999998	13.064879999999999	13.02615	13.453309999999997	12.92838	12.96425	13.236539999999998	13.19549	13.287090000000001	12.85561	12.674480000000003	12.71961	13.15381	12.191949999999999	12.452969999999999	12.722370000000002	11.470969999999998	10.640430000000004	10.52053	11.220070000000002	10.980540000000001	11.27614	11.532390000000001	13.114799999999999	12.165460000000001	10.949279999999998	12.30798	10.670710000000001	18.008690000000005	7.589640000000001	14.808839999999998	11.308569999999998	13.65485	10.820669999999998
FR061	14.48679	14.727280000000004	14.771569999999999	14.697000000000003	14.53718	14.399289999999999	14.85703	14.150260000000001	14.16951	14.158560000000001	14.327670000000001	14.34954	13.799370000000001	13.537230000000001	13.39912	13.627149999999999	12.76622	12.979380000000003	13.48671	11.91862	10.43483	10.49595	11.4096	10.807459999999999	11.303650000000001	11.460049999999997	14.73563	6.9622	11.13265	7.0491600000000005	10.703899999999999	18.617050000000003	7.23283	15.43534	11.47815	15.027699999999996	11.09824
FR063	19.21777	18.793790000000005	18.88589	18.79802	18.713289999999997	18.58453	19.142619999999997	18.306129999999996	18.37202	18.669860000000003	18.64374	18.691340000000004	17.99557	17.70323	17.59382	17.91685	16.854519999999997	17.10898	17.59058	15.81665	14.033620000000003	14.072159999999997	15.211600000000004	14.567400000000001	15.275840000000002	15.418690000000002	18.86496	17.334229999999998	14.835499999999998	17.860619999999997	14.43666	22.283850000000005	10.11581	19.13986	15.19343	18.705870000000004	14.96267
FR064	16.141530000000003	16.37214	16.4319	16.36958	16.19553	16.07691	16.59773	15.80085	15.82629	16.082099999999997	16.09578	16.02434	15.470799999999997	15.216129999999996	15.120260000000002	15.375840000000004	14.43298	14.63764	15.124400000000001	13.46755	12.014710000000001	11.99668	12.944560000000003	12.43265	12.88312	13.12647	16.39349	15.125549999999997	12.60588	15.71295	12.19088	20.015980000000003	8.79583	16.8069	13.128259999999997	16.609270000000002	12.78392
Guglionesi_336	10.02429	10.187359999999998	10.192630000000001	10.165070000000002	9.92675	9.773769999999999	10.149849999999999	9.57453	9.55603	9.701190000000002	9.805699999999998	9.60453	9.23881	9.078580000000002	8.90709	8.97222	8.46331	8.548279999999998	8.877109999999998	7.79533	6.7713	6.837650000000001	7.4374600000000015	6.95855	7.31434	7.418939999999999	10.15619	9.378570000000002	7.28979	10.071779999999999	7.069660000000001	12.135430000000003	4.65706	9.78341	7.54027	11.141260000000003	7.513819999999999
Guglionesi_426	11.610190000000001	11.814430000000003	11.796970000000002	11.77451	11.482700000000001	11.289719999999999	11.705390000000001	11.012230000000002	10.973329999999999	11.152430000000003	11.22985	11.023560000000002	10.566619999999999	10.399830000000001	10.200709999999999	10.15789	9.655359999999998	9.761470000000001	10.114780000000003	8.87334	7.70204	7.754580000000001	8.405650000000001	7.8634900000000005	8.1904	8.427410000000002	11.732389999999999	10.86639	8.2648	11.692070000000001	8.12534	14.20894	5.5853399999999995	10.8805	8.6613	12.6539	8.59658
Guglionesi_427	9.45804	9.61482	9.616810000000001	9.59063	9.37791	9.21528	9.571330000000001	9.0623	9.010610000000002	9.17569	9.21796	9.05727	8.74048	8.62037	8.43328	8.57164	8.0342	8.07537	8.40438	7.351380000000001	6.44749	6.5552	7.023389999999999	6.671519999999999	6.97237	7.186970000000002	9.565159999999999	8.9016	6.919649999999999	9.52012	6.76919	11.134720000000002	4.45178	9.097699999999998	7.17567	10.560229999999999	7.087879999999998
Guglionesi_428	9.85277	10.01556	10.01417	9.98922	9.775890000000002	9.620970000000002	9.95856	9.46869	9.424639999999998	9.582140000000003	9.70827	9.487350000000001	9.16555	9.016369999999998	8.835640000000001	8.971350000000001	8.42792	8.53634	8.85884	7.79599	6.84575	6.8733699999999995	7.43178	7.016120000000001	7.362120000000001	7.58315	9.9579	9.22494	7.209330000000001	9.882150000000001	7.164290000000001	12.258379999999999	4.7260599999999995	9.604019999999998	7.608779999999999	11.239849999999997	7.51923
Guglionesi_429	10.37929	10.53434	10.561409999999999	10.5294	10.36466	10.239370000000001	10.60163	10.08047	10.080630000000001	10.242939999999999	10.2812	10.17362	9.85527	9.67982	9.549850000000001	9.778669999999998	9.09294	9.210440000000002	9.554679999999998	8.45266	7.48188	7.558829999999999	8.15635	7.758749999999999	8.09507	8.37398	10.53	9.748960000000002	7.925369999999999	10.237519999999998	7.8295200000000005	13.605519999999999	5.181680000000001	10.67484	8.24977	11.93561	8.10745
Guglionesi_431	11.127120000000001	11.289690000000002	11.32136	11.269340000000001	11.10343	10.99213	11.36262	10.82236	10.796130000000002	10.97403	11.051359999999999	10.936489999999997	10.55355	10.390179999999999	10.25731	10.42388	9.77587	9.89482	10.270140000000001	9.05454	7.968579999999999	8.09097	8.78131	8.28432	8.56306	8.84564	11.27106	10.444690000000001	8.54456	10.989329999999999	8.330390000000001	14.837960000000004	5.6994	11.363449999999998	8.9023	12.704379999999999	8.84284
Guglionesi_432	9.29196	9.42058	9.45031	9.42606	9.28421	9.18103	9.488330000000001	9.060460000000003	9.0635	9.19698	9.23309	9.19265	8.873780000000002	8.73733	8.65643	8.93104	8.27648	8.35834	8.68446	7.6833100000000005	6.867850000000001	6.907639999999999	7.434090000000001	7.1023700000000005	7.34925	7.63185	9.42276	8.744140000000002	7.13547	9.10769	7.208729999999999	13.067689999999999	4.97569	9.65638	7.472619999999999	10.69553	7.43276
Guglionesi_433	10.586730000000001	10.740879999999999	10.75921	10.72786	10.55847	10.450660000000001	10.80596	10.315249999999999	10.295460000000002	10.47823	10.614099999999999	10.44081	10.10787	9.9224	9.82262	10.08681	9.37166	9.48392	9.81711	8.729149999999999	7.72256	7.796800000000001	8.38871	8.014800000000001	8.402259999999998	8.65094	10.735750000000001	9.93341	8.073780000000001	10.42679	8.05778	13.823409999999997	5.2903199999999995	10.915040000000001	8.50051	11.853769999999999	8.343969999999999
Guglionesi_434	11.045499999999999	11.237229999999998	11.244800000000001	11.217400000000001	10.98989	10.82199	11.21294	10.63817	10.584869999999999	10.78156	10.846000000000002	10.708130000000002	10.2973	10.100270000000002	9.96904	10.21838	9.51106	9.580060000000001	10.05879	8.78205	7.696380000000001	7.818709999999999	8.369720000000001	7.988520000000001	8.551269999999999	8.65225	11.186830000000002	10.337480000000001	8.09337	10.99954	7.99874	13.57377	5.30865	11.053540000000002	8.614170000000001	12.59199	8.372459999999998
Guglionesi_435	10.817120000000001	10.98872	10.99191	10.96229	10.748460000000001	10.6019	10.98234	10.430309999999997	10.38502	10.558469999999998	10.640460000000001	10.47699	10.11291	9.92853	9.77735	9.92539	9.32155	9.43486	9.757589999999999	8.667019999999999	7.59032	7.6526	8.28309	7.843540000000001	8.225069999999999	8.35947	10.94937	10.136510000000003	8.067739999999999	10.82001	7.97315	13.869559999999998	5.20339	10.56617	8.49163	11.894209999999998	8.35884
KAZ14001	14.538289999999998	14.773200000000001	14.912079999999998	14.78225	14.76116	14.78061	15.196250000000003	14.66303	14.716399999999998	14.90996	14.933720000000001	14.98674	14.61825	14.316480000000002	14.398710000000003	14.713769999999998	13.664250000000001	13.91768	14.50827	12.7513	11.464670000000002	11.6426	12.456249999999999	11.882120000000002	12.37077	12.631509999999999	14.840869999999999	13.585540000000002	11.95218	13.97464	11.99262	19.96241	7.903639999999999	15.863549999999996	12.588650000000001	16.56458	12.22566
KAZ14003	7.15704	7.20594	7.44111	7.275119999999999	7.708349999999999	7.957319999999999	8.029369999999998	8.17783	8.29645	8.39343	8.30038	8.69981	8.640439999999998	8.47972	8.90478	9.607209999999998	8.515600000000001	8.81139	9.008830000000001	8.18934	7.8095	7.95759	8.38012	8.302999999999999	8.4999	8.59648	7.4489	6.72144	8.03927	6.1793700000000005	7.990729999999999	13.089120000000008	5.39683	10.79269	8.20878	9.30522	7.702210000000001
KAZ14032	9.18379	9.295849999999998	9.453130000000002	9.335569999999999	9.488300000000002	9.63684	9.833919999999999	9.67652	9.762120000000001	9.861049999999999	9.83903	10.052660000000001	9.860999999999999	9.629280000000001	9.88342	10.305459999999998	9.404440000000001	9.68271	9.95711	8.93948	8.15931	8.27242	8.88064	8.51888	8.74538	9.02429	9.44119	8.551060000000001	8.40981	8.45978	8.433489999999999	13.691120000000002	6.0042800000000005	11.33459	8.86163	10.999770000000002	8.640279999999999
KAZ14035	11.633890000000001	11.241179999999998	11.37823	11.265920000000001	11.35263	11.35902	11.697049999999997	11.33508	11.40873	11.534040000000001	11.55582	11.71119	11.376640000000002	11.123940000000001	11.31579	11.631060000000002	10.70177	11.020940000000001	11.34383	10.0668	9.07635	9.17699	9.861459999999997	9.43567	9.81148	10.07934	11.36391	10.34189	9.5266	10.54308	9.6011	15.709230000000002	6.55712	12.464399999999998	9.83767	13.265949999999998	9.70379
KAZ14053	9.82752	10.02107	10.077609999999998	9.99381	9.897180000000002	9.83504	10.133149999999999	9.663409999999999	9.68403	9.832489999999998	9.85204	9.78706	9.50783	9.275630000000001	9.252690000000001	9.30306	8.736799999999999	8.93385	9.27948	8.1346	7.119199999999999	7.169090000000001	7.774329999999999	7.35337	7.57122	7.931430000000001	10.01196	9.190130000000002	7.58699	9.501689999999998	7.528980000000001	13.115829999999999	5.07686	10.306290000000002	7.96217	11.433890000000002	7.994399999999999
KAZ14054	10.28208	10.40909	10.54306	10.42215	10.460119999999998	10.526599999999998	10.794419999999999	10.449079999999999	10.50609	10.64398	10.624079999999998	10.73823	10.45967	10.19176	10.372460000000002	10.52361	9.74328	9.97206	10.30879	9.1311	8.05828	8.20342	8.878599999999999	8.37512	8.65118	9.00271	10.52408	9.530540000000002	8.536800000000001	9.625990000000002	8.50106	14.292329999999996	5.55996	11.550839999999999	9.00778	11.895559999999994	8.90885
KAZ14055	10.516300000000001	10.692530000000001	10.73567	10.689320000000002	10.54517	10.46634	10.792910000000001	10.258790000000001	10.261019999999998	10.424050000000001	10.552280000000001	10.394490000000001	10.09356	9.845569999999999	9.795430000000001	9.869169999999997	9.27477	9.442250000000001	9.80729	8.62515	7.6012	7.68962	8.27408	7.78464	8.15875	8.37443	10.68611	9.82604	8.10127	10.34327	8.023570000000001	14.0611	5.06319	10.769829999999999	8.42872	12.04208	8.36914
KAZ14057	9.66126	9.1887	9.303329999999999	9.212819999999999	9.24603	9.25465	9.50394	9.17508	9.23252	9.33564	9.35051	9.4617	9.14966	8.94762	9.056799999999999	9.17122	8.51835	8.74618	9.0377	8.003919999999999	7.086010000000002	7.2033999999999985	7.76299	7.30743	7.631820000000001	7.8644	9.27732	8.415690000000001	7.486170000000001	8.62632	7.485900000000001	12.327440000000005	4.75057	9.949350000000003	7.902469999999999	10.64686	7.641380000000002
KAZ14059	8.99275	9.094240000000001	9.24417	9.13509	9.28214	9.40345	9.5933	9.44981	9.50993	9.617859999999999	9.602340000000002	9.833080000000002	9.618089999999999	9.418069999999998	9.65843	9.98875	9.135470000000002	9.40046	9.719230000000001	8.676210000000001	7.91653	8.038	8.57975	8.26433	8.51279	8.84609	9.238829999999998	8.353340000000001	8.13406	8.356329999999998	8.27617	13.722530000000008	5.58265	10.97046	8.58573	10.57446	8.16894
KAZ14061	9.69528	9.835859999999998	9.99536	9.86052	9.97547	10.13176	10.38823	10.085349999999996	10.220139999999999	10.29188	10.27957	10.521090000000001	10.19445	9.97521	10.180129999999998	10.49523	9.608089999999999	9.91431	10.24	9.105170000000001	8.12347	8.22888	8.91743	8.384269999999999	8.72183	8.96207	9.99243	9.01634	8.463479999999999	8.91754	8.45528	14.119040000000004	5.696369999999999	11.51985	8.991040000000002	11.33539	8.78414
Lesina_280	12.3971	12.57772	12.704290000000002	12.60108	12.608360000000001	12.57996	12.924699999999998	12.53826	12.55401	12.74541	12.758199999999999	12.83637	12.560450000000001	12.328990000000001	12.412189999999999	12.889139999999998	11.849419999999997	12.09215	12.509709999999998	11.047840000000003	10.0992	10.2081	10.79747	10.560820000000001	11.05325	11.300009999999999	12.6537	11.59815	10.421140000000001	11.92731	10.53149	16.615440000000007	7.119059999999999	13.658300000000002	10.952809999999998	14.427190000000001	10.365649999999999
Lesina_281	10.36406	10.513840000000002	10.556090000000001	10.51793	10.372689999999999	10.26792	10.625430000000001	10.15271	10.15361	10.334209999999999	10.49086	10.26788	9.99471	9.81066	9.785919999999999	9.96248	9.28237	9.390110000000002	9.781690000000001	8.63599	7.695440000000001	7.8088999999999995	8.32709	7.998760000000001	8.36326	8.54193	10.52658	9.69736	8.096589999999999	10.174359999999998	8.0916	13.061830000000002	5.5184299999999995	10.77986	8.45056	11.997459999999998	8.12326
Lesina_282	9.90601	10.05867	10.114	10.068589999999999	9.94722	9.886270000000001	10.17034	9.75987	9.76092	9.916220000000001	10.200750000000001	9.88441	9.631590000000001	9.447809999999999	9.46644	9.58485	8.92666	9.12547	9.43909	8.400419999999999	7.51703	7.570979999999999	8.13271	7.78886	7.966619999999999	8.30003	10.08801	9.27007	7.910830000000001	9.681280000000001	7.84094	12.854739999999998	5.290629999999999	10.417449999999999	8.13687	11.35997	8.11088
Lesina_285	8.81614	8.941399999999998	8.99746	8.969030000000002	8.88993	8.82933	9.102279999999999	8.783	8.79529	8.941659999999999	8.96301	8.915180000000001	8.7579	8.60382	8.62791	8.88489	8.22387	8.372290000000001	8.64524	7.660779999999999	6.93641	7.103150000000001	7.424569999999999	7.303910000000002	7.65316	7.822890000000001	8.9661	8.251050000000001	7.259640000000001	8.72847	7.299440000000001	11.754110000000003	4.7492600000000005	9.51191	7.712679999999999	10.30818	7.202099999999998
Lesina_286	10.00446	10.15868	10.216529999999999	10.15689	10.03808	9.972119999999999	10.28189	9.84025	9.83605	9.98068	10.01584	10.004780000000002	9.71852	9.49295	9.55326	9.639520000000001	9.02443	9.18712	9.51984	8.40769	7.5159	7.61749	8.21686	7.808669999999999	8.024180000000001	8.27781	10.174	9.359290000000001	7.9750499999999995	9.77382	7.843439999999999	13.025639999999997	5.49865	10.49379	8.30008	11.642000000000003	8.19757
Lesina_287	10.60523	10.767249999999999	10.8057	10.75065	10.58783	10.50456	10.83535	10.36403	10.39093	10.55974	10.601700000000001	10.548100000000002	10.24396	10.0112	10.00587	10.067519999999998	9.45382	9.6627	9.98946	8.863949999999999	7.857140000000001	7.942700000000002	8.55782	8.14331	8.5047	8.73309	10.754419999999998	9.906979999999999	8.47569	10.45229	8.44106	14.522139999999998	5.59987	10.937330000000003	8.855380000000002	12.167679999999999	8.793210000000002
Lesina_288	9.218	9.341940000000001	9.409360000000001	9.36577	9.30334	9.263530000000003	9.54106	9.243450000000001	9.24119	9.35951	9.44239	9.430290000000001	9.27711	9.08673	9.089680000000001	9.35293	8.65761	8.829279999999999	9.144879999999999	8.02546	7.261500000000002	7.470649999999999	7.899570000000001	7.68704	7.979490000000002	8.24803	9.39648	8.605129999999999	7.596230000000002	9.033240000000001	7.72738	12.64295	5.196160000000001	9.976700000000001	8.00509	10.64511	7.607029999999998
Lesina_289	9.13057	9.26809	9.3071	9.26671	9.15063	9.10102	9.39965	9.02046	9.0136	9.16516	9.338350000000002	9.15799	8.97146	8.756459999999999	8.76121	8.99817	8.35392	8.478629999999999	8.77546	7.80101	7.050419999999999	7.1315300000000015	7.59422	7.308209999999999	7.6617999999999995	7.78806	9.273560000000002	8.56892	7.345940000000001	9.00993	7.345380000000002	12.621650000000002	5.078589999999999	9.637369999999999	7.76904	10.726999999999999	7.512219999999999
Lesina_292	10.46356	10.61835	10.661010000000001	10.58952	10.458849999999998	10.37806	10.694619999999999	10.22069	10.21766	10.359890000000002	10.700770000000002	10.39011	10.10076	9.862250000000001	9.891280000000002	10.048540000000001	9.328339999999999	9.527719999999999	9.906810000000002	8.709589999999999	7.765080000000001	7.86698	8.45561	8.07115	8.338899999999999	8.608480000000002	10.60997	9.83936	8.20394	10.2147	8.25779	14.61542	5.380760000000001	10.980420000000002	8.58121	12.301779999999999	8.62398
Lesina_295	9.4692	9.59115	9.698140000000002	9.61387	9.63995	9.65042	9.89583	9.639579999999999	9.647870000000001	9.81737	9.83217	9.90745	9.729389999999999	9.52347	9.598799999999999	10.052	9.20804	9.419750000000002	9.746090000000002	8.60594	7.8502600000000005	8.05466	8.480910000000002	8.370650000000001	8.59412	8.89863	9.683530000000001	8.87811	8.122530000000001	9.11048	8.248650000000001	13.373480000000002	5.77691	11.09321	8.55644	11.358440000000002	8.143080000000001
PD22NLD0146F	5.3743	5.43421	5.50725	5.453539999999999	5.538549999999999	5.57698	5.67933	5.562939999999999	5.60164	5.6183000000000005	5.64325	5.773309999999999	5.60904	5.540970000000001	5.64107	5.978020000000001	5.3876800000000005	5.5522100000000005	5.68511	5.1887099999999995	4.78568	4.81209	5.12274	5.04482	5.078720000000001	5.31918	5.506570000000001	2.6188000000000002	4.9583	2.51152	4.865309999999999	9.369360000000002	3.5880799999999997	7.462860000000001	5.11119	6.93382	4.9645399999999995
PD22NLD0147F	5.0558499999999995	5.100149999999999	5.183	5.112730000000001	5.24481	5.3001	5.38999	5.34399	5.3711199999999995	5.3823099999999995	5.43955	5.563560000000001	5.4383	5.37325	5.50451	5.944399999999999	5.28327	5.41949	5.517859999999999	5.07866	4.80105	4.78448	5.10998	5.095289999999999	5.11792	5.35843	5.184550000000001	2.49332	4.89145	2.33024	4.987419999999999	9.180370000000003	3.5753700000000004	7.324479999999999	4.96446	6.726120000000001	4.74795
PDOM2022NLD0041J	4.73262	4.7069399999999995	4.87361	4.8185400000000005	5.213170000000001	5.39642	5.38408	5.71778	5.739850000000001	5.88066	5.87321	6.1321200000000005	6.310720000000001	6.344759999999999	6.5871200000000005	7.755479999999999	6.610839999999999	6.796359999999999	6.802340000000001	6.336340000000001	6.7605	6.899939999999999	6.5855999999999995	7.574760000000001	7.653130000000001	7.9152000000000005	4.92148	4.53537	6.5020999999999995	4.00268	6.78776	8.920690000000002	5.0092099999999995	8.608139999999999	7.262170000000001	6.203830000000002	5.13092
PDOM2022NLD0042M	5.90726	5.71251	5.814830000000001	5.764410000000001	5.980660000000001	6.06676	6.1628300000000005	6.20503	6.2355599999999995	6.3362	6.33791	6.524570000000001	6.46755	6.4211100000000005	6.56174	7.27275	6.44819	6.60861	6.61972	6.15097	6.04565	6.110049999999999	6.28305	6.531350000000001	6.63294	6.81134	5.84055	5.41192	6.042260000000001	5.0725299999999995	6.13347	9.425429999999999	4.49648	8.27403	6.4705699999999995	7.25751	5.5048900000000005
PDOM2022NLD0043F	5.58166	5.59347	5.7347399999999995	5.65403	5.93234	6.06791	6.13328	6.2476199999999995	6.285959999999999	6.31265	6.37673	6.578570000000001	6.63184	6.60799	6.79831	7.588419999999999	6.6753100000000005	6.87534	6.904220000000001	6.362229999999999	6.38943	6.4967700000000015	6.48262	7.052299999999999	7.133710000000001	7.48063	5.75751	2.74523	6.28763	2.5323599999999997	6.413169999999999	9.287330000000003	4.5024299999999995	8.878910000000001	6.93253	7.49877	5.340909999999999
