Sample_ID_1	Sample_ID_2	Population_1	Population_2	Ind_1	Ind_2	CHRType	K	Value
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Autosomes	K = 4	 0.004239
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Autosomes	K = 5	 0.004239
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Allosome	K = 5	 0.054712
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Allosome	K = 3	 0.054611
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Allosome	K = 2	10
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Allosome	K = 7	10
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Allosome	K = 4	 0.023276
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Autosomes	K = 5	 0.002615
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Allosome	K = 6	 0.054598
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Autosomes	K = 2	 0.007424
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Allosome	K = 3	 0.023155
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Allosome	K = 2	 0.048286
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Autosomes	K = 3	 0.004239
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Autosomes	K = 3	10
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Allosome	K = 6	 0.023234
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Autosomes	K = 5	10
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Allosome	K = 5	 0.023273
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Autosomes	K = 4	10
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Autosomes	K = 7	 0.004239
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Allosome	K = 7	-0.017067
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Allosome	K = 5	10
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Autosomes	K = 6	 0.002615
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Autosomes	K = 7	 0.002615
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Allosome	K = 3	10
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Allosome	K = 4	 0.054718
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Allosome	K = 6	10
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Autosomes	K = 4	 0.002615
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Autosomes	K = 2	10
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Allosome	K = 2	 0.090277
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Autosomes	K = 6	 0.004239
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Autosomes	K = 3	 0.002615
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Allosome	K = 4	10
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Allosome	K = 7	-0.006673
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Autosomes	K = 2	 0.006500
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Autosomes	K = 7	 0.004098
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Autosomes	K = 4	 0.004449
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Autosomes	K = 6	 0.004098
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Allosome	K = 6	 0.070384
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Allosome	K = 5	 0.086009
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Allosome	K = 7	-0.004839
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Allosome	K = 4	10
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Allosome	K = 4	 0.070345
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Autosomes	K = 3	 0.004098
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Autosomes	K = 2	 0.007167
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Autosomes	K = 7	 0.004449
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Autosomes	K = 4	10
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Allosome	K = 7	 0.023813
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Allosome	K = 2	 0.091323
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Allosome	K = 3	 0.070360
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Allosome	K = 6	 0.085953
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Allosome	K = 2	 0.108217
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Autosomes	K = 5	 0.004098
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Autosomes	K = 3	10
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Allosome	K = 3	 0.086015
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Autosomes	K = 5	 0.003336
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Allosome	K = 6	10
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Allosome	K = 5	 0.062012
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Autosomes	K = 6	 0.003336
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Allosome	K = 5	 0.070345
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Autosomes	K = 7	10
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Autosomes	K = 2	10
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Autosomes	K = 6	10
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Autosomes	K = 4	 0.004098
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Allosome	K = 5	10
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Allosome	K = 3	 0.061994
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Autosomes	K = 3	 0.003336
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Autosomes	K = 5	 0.004449
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Allosome	K = 6	 0.061962
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Allosome	K = 2	10
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Allosome	K = 3	10
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Autosomes	K = 3	 0.004449
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Allosome	K = 7	10
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Autosomes	K = 7	 0.003336
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Autosomes	K = 2	 0.007331
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Allosome	K = 2	 0.136847
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Allosome	K = 4	 0.086012
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Autosomes	K = 5	10
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Autosomes	K = 4	 0.003336
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Allosome	K = 7	 0.023342
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Autosomes	K = 6	 0.004449
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Allosome	K = 4	 0.062016
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Autosomes	K = 6	 0.001820
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Autosomes	K = 4	 0.007679
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Allosome	K = 7	 0.009736
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Autosomes	K = 6	10
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Autosomes	K = 4	10
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Autosomes	K = 2	 0.010517
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Allosome	K = 3	 0.008844
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Autosomes	K = 5	 0.003064
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Allosome	K = 2	10
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Allosome	K = 5	-0.008201
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Allosome	K = 2	 0.056704
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Autosomes	K = 5	10
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Autosomes	K = 7	 0.007679
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Allosome	K = 7	-0.011838
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Allosome	K = 2	 0.067804
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Autosomes	K = 6	 0.007679
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Autosomes	K = 3	 0.003064
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Autosomes	K = 3	 0.007679
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Allosome	K = 3	 0.036197
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Allosome	K = 4	 0.029224
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Allosome	K = 4	 0.036254
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Allosome	K = 3	 0.029362
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Autosomes	K = 7	 0.003064
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Allosome	K = 6	10
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Allosome	K = 7	10
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Autosomes	K = 3	 0.001820
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Allosome	K = 5	 0.008848
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Allosome	K = 3	-0.008131
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Autosomes	K = 5	 0.001820
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Allosome	K = 5	 0.029226
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Autosomes	K = 3	 0.008587
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Allosome	K = 5	 0.036252
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Allosome	K = 6	 0.029290
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Autosomes	K = 5	 0.007679
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Allosome	K = 2	 0.037915
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Autosomes	K = 7	 0.001820
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Autosomes	K = 4	 0.001820
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Autosomes	K = 7	 0.008587
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Autosomes	K = 6	 0.008587
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Allosome	K = 6	 0.036238
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Autosomes	K = 2	10
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Autosomes	K = 2	 0.006329
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Allosome	K = 4	 0.008845
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Autosomes	K = 3	10
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Autosomes	K = 4	 0.008587
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Autosomes	K = 5	 0.008587
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Autosomes	K = 2	 0.005195
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Allosome	K = 7	-0.013929
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Autosomes	K = 6	 0.003064
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Allosome	K = 6	 0.008939
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Allosome	K = 4	10
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Autosomes	K = 4	 0.003064
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Autosomes	K = 7	10
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Allosome	K = 2	 0.037366
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Autosomes	K = 2	 0.011330
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Allosome	K = 4	-0.008199
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Allosome	K = 6	-0.008229
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Allosome	K = 5	10
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Allosome	K = 7	-0.041997
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Allosome	K = 3	10
KAZ14032	KAZ14054	Chokpak	Chokpak	Chokpak_03	Chokpak_06	Allosome	K = 7	-0.010025
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Autosomes	K = 6	 0.006224
KAZ14032	KAZ14054	Chokpak	Chokpak	Chokpak_03	Chokpak_06	Autosomes	K = 6	 0.003914
KAZ14001	KAZ14054	Chokpak	Chokpak	Chokpak_01	Chokpak_06	Autosomes	K = 3	 0.008006
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Allosome	K = 2	 0.035630
KAZ14054	KAZ14054	Chokpak	Chokpak	Chokpak_06	Chokpak_06	Allosome	K = 4	10
KAZ14003	KAZ14054	Chokpak	Chokpak	Chokpak_02	Chokpak_06	Autosomes	K = 4	 0.004944
KAZ14032	KAZ14054	Chokpak	Chokpak	Chokpak_03	Chokpak_06	Autosomes	K = 3	 0.003914
KAZ14001	KAZ14054	Chokpak	Chokpak	Chokpak_01	Chokpak_06	Autosomes	K = 7	 0.008006
KAZ14003	KAZ14054	Chokpak	Chokpak	Chokpak_02	Chokpak_06	Autosomes	K = 6	 0.004944
KAZ14032	KAZ14054	Chokpak	Chokpak	Chokpak_03	Chokpak_06	Allosome	K = 2	 0.058298
KAZ14003	KAZ14054	Chokpak	Chokpak	Chokpak_02	Chokpak_06	Autosomes	K = 2	 0.007825
KAZ14035	KAZ14054	Chokpak	Chokpak	Chokpak_04	Chokpak_06	Allosome	K = 2	 0.059224
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Allosome	K = 4	 0.004656
KAZ14001	KAZ14054	Chokpak	Chokpak	Chokpak_01	Chokpak_06	Allosome	K = 3	 0.022920
KAZ14003	KAZ14054	Chokpak	Chokpak	Chokpak_02	Chokpak_06	Allosome	K = 5	 0.018656
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Allosome	K = 5	 0.004656
KAZ14003	KAZ14054	Chokpak	Chokpak	Chokpak_02	Chokpak_06	Autosomes	K = 7	 0.004944
KAZ14001	KAZ14054	Chokpak	Chokpak	Chokpak_01	Chokpak_06	Autosomes	K = 5	 0.008006
KAZ14054	KAZ14054	Chokpak	Chokpak	Chokpak_06	Chokpak_06	Autosomes	K = 2	10
KAZ14035	KAZ14054	Chokpak	Chokpak	Chokpak_04	Chokpak_06	Allosome	K = 4	 0.020837
KAZ14032	KAZ14054	Chokpak	Chokpak	Chokpak_03	Chokpak_06	Allosome	K = 5	 0.036256
KAZ14054	KAZ14054	Chokpak	Chokpak	Chokpak_06	Chokpak_06	Autosomes	K = 6	10
KAZ14054	KAZ14054	Chokpak	Chokpak	Chokpak_06	Chokpak_06	Autosomes	K = 7	10
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Allosome	K = 7	-0.021876
KAZ14001	KAZ14054	Chokpak	Chokpak	Chokpak_01	Chokpak_06	Allosome	K = 7	-0.001972
KAZ14003	KAZ14054	Chokpak	Chokpak	Chokpak_02	Chokpak_06	Allosome	K = 3	 0.018642
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Autosomes	K = 4	 0.006224
KAZ14035	KAZ14054	Chokpak	Chokpak	Chokpak_04	Chokpak_06	Allosome	K = 3	 0.020973
KAZ14003	KAZ14054	Chokpak	Chokpak	Chokpak_02	Chokpak_06	Autosomes	K = 3	 0.004944
KAZ14001	KAZ14054	Chokpak	Chokpak	Chokpak_01	Chokpak_06	Allosome	K = 5	 0.022913
KAZ14054	KAZ14054	Chokpak	Chokpak	Chokpak_06	Chokpak_06	Autosomes	K = 4	10
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Autosomes	K = 5	 0.006224
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Autosomes	K = 2	 0.009153
KAZ14001	KAZ14054	Chokpak	Chokpak	Chokpak_01	Chokpak_06	Autosomes	K = 2	 0.011261
KAZ14001	KAZ14054	Chokpak	Chokpak	Chokpak_01	Chokpak_06	Autosomes	K = 6	 0.008006
KAZ14003	KAZ14054	Chokpak	Chokpak	Chokpak_02	Chokpak_06	Allosome	K = 6	 0.018588
KAZ14001	KAZ14054	Chokpak	Chokpak	Chokpak_01	Chokpak_06	Allosome	K = 4	 0.022913
KAZ14054	KAZ14054	Chokpak	Chokpak	Chokpak_06	Chokpak_06	Allosome	K = 3	10
KAZ14054	KAZ14054	Chokpak	Chokpak	Chokpak_06	Chokpak_06	Allosome	K = 7	10
KAZ14054	KAZ14054	Chokpak	Chokpak	Chokpak_06	Chokpak_06	Allosome	K = 2	10
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Autosomes	K = 3	 0.006224
KAZ14035	KAZ14054	Chokpak	Chokpak	Chokpak_04	Chokpak_06	Allosome	K = 6	 0.020802
KAZ14032	KAZ14054	Chokpak	Chokpak	Chokpak_03	Chokpak_06	Autosomes	K = 5	 0.003914
KAZ14054	KAZ14054	Chokpak	Chokpak	Chokpak_06	Chokpak_06	Autosomes	K = 3	10
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Allosome	K = 6	 0.004681
KAZ14035	KAZ14054	Chokpak	Chokpak	Chokpak_04	Chokpak_06	Autosomes	K = 4	 0.005966
KAZ14035	KAZ14054	Chokpak	Chokpak	Chokpak_04	Chokpak_06	Allosome	K = 5	 0.020835
KAZ14054	KAZ14054	Chokpak	Chokpak	Chokpak_06	Chokpak_06	Allosome	K = 6	10
KAZ14032	KAZ14054	Chokpak	Chokpak	Chokpak_03	Chokpak_06	Allosome	K = 3	 0.036240
KAZ14035	KAZ14054	Chokpak	Chokpak	Chokpak_04	Chokpak_06	Autosomes	K = 3	 0.005966
KAZ14032	KAZ14054	Chokpak	Chokpak	Chokpak_03	Chokpak_06	Autosomes	K = 4	 0.003914
KAZ14035	KAZ14054	Chokpak	Chokpak	Chokpak_04	Chokpak_06	Autosomes	K = 6	 0.005966
KAZ14003	KAZ14054	Chokpak	Chokpak	Chokpak_02	Chokpak_06	Allosome	K = 4	 0.018659
KAZ14032	KAZ14054	Chokpak	Chokpak	Chokpak_03	Chokpak_06	Autosomes	K = 7	 0.003914
KAZ14001	KAZ14054	Chokpak	Chokpak	Chokpak_01	Chokpak_06	Allosome	K = 2	 0.052398
KAZ14032	KAZ14054	Chokpak	Chokpak	Chokpak_03	Chokpak_06	Autosomes	K = 2	 0.007359
KAZ14003	KAZ14054	Chokpak	Chokpak	Chokpak_02	Chokpak_06	Autosomes	K = 5	 0.004944
KAZ14035	KAZ14054	Chokpak	Chokpak	Chokpak_04	Chokpak_06	Autosomes	K = 2	 0.008776
KAZ14001	KAZ14054	Chokpak	Chokpak	Chokpak_01	Chokpak_06	Allosome	K = 6	 0.022917
KAZ14054	KAZ14054	Chokpak	Chokpak	Chokpak_06	Chokpak_06	Allosome	K = 5	10
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Autosomes	K = 7	 0.006224
